employee_id,age,gender,department,experience_years,weekly_work_hours,remote_days,performance_score,monthly_salary,satisfaction_level
1,23,Male,Tech,1,40,2,3.8,35000,0.72
2,29,Female,HR,5,38,3,4.2,48000,0.81
3,35,Male,Finance,10,45,1,4.6,82000,0.88
4,26,Female,Sales,3,42,2,3.9,42000,0.74
5,31,Male,Tech,7,44,2,4.5,76000,0.86
6,28,Female,HR,4,37,4,4.1,46000,0.8
7,41,Male,Finance,15,46,0,4.8,110000,0.91
8,24,Female,Sales,2,40,3,3.7,38000,0.7
9,34,Male,Tech,9,43,1,4.4,79000,0.84
10,27,Female,HR,3,39,4,4.0,44000,0.78
11,38,Male,Finance,13,47,0,4.7,98000,0.89
12,25,Female,Sales,2,41,3,3.8,40000,0.73
13,32,Male,Tech,8,45,1,4.6,83000,0.87
14,29,Female,HR,5,38,4,4.2,49000,0.82
15,45,Male,Finance,20,48,0,4.9,120000,0.93
16,22,Female,Sales,1,40,3,3.6,34000,0.69
17,36,Male,Tech,11,44,1,4.5,87000,0.86
18,30,Female,HR,6,39,4,4.3,52000,0.83
19,39,Male,Finance,14,46,0,4.7,102000,0.9
20,26,Female,Sales,3,42,2,3.9,43000,0.75
21,33,Male,Tech,9,43,1,4.4,80000,0.85
22,28,Female,HR,4,38,4,4.1,47000,0.79
23,42,Male,Finance,17,47,0,4.8,115000,0.92
24,24,Female,Sales,2,41,3,3.7,39000,0.71
25,37,Male,Tech,12,45,1,4.6,90000,0.88
26,31,Female,HR,7,39,4,4.3,54000,0.84
27,44,Male,Finance,18,48,0,4.9,118000,0.94
28,27,Female,Sales,3,42,2,3.9,45000,0.76
29,35,Male,Tech,10,44,1,4.5,85000,0.87
30,29,Female,HR,5,38,4,4.2,50000,0.82
